241,Análisis Matemático I,6,–
242,Economía,4,–
243,Sociología,4,–
244,Metodología de las Ciencias Sociales,4,–
245,Álgebra,4,–
246,Historia Económica y Social General,4,–
247,Teoría Contable,6,–
248,Estadística I,6,241
249,Historia Económica y Social Argentina,4,242-244-246
250,Microeconomía I,4,241-242
251,Instituciones de Derecho Público,4,–
252,Administración General,4,–
273,Instituciones del Derecho Privado,4,–
274,Sistemas Administrativos,4,252
275,Tecnología de la Información,6,274
276,Cálculo Financiero,4,248
277,Gestión y Costos,6,247
278,Macroeconomía y Política Económica,6,250
279,Administración Financiera,6,252-276
284,Análisis Matemático II,6,241-245
285,Estadística II,6,248-284
288,Matemática para Economistas,6,284
552,"Dinero, Crédito y Bancos",6,278-288
751,Estadística Actuarial,4,285-288
752,Análisis Numérico,4,288
753,Biometría Actuarial,6,276-751-752
754,Teoría Actuarial de los Seguros Personales,4,753
755,Teoría Actuarial de los Seguros Patrimoniales,4,276-751-752
756,"Teoría Actuarial de los Fondos y Planes de Jubilaciones, Pensiones y Salud",6,754
757,Teoría de Equilibrio Actuarial,4,754-755
758,Bases Actuariales de las Inversiones y Financiaciones,4,276-751
999,(*) ELECTIVA u (**) OPTATIVA,0,–
998,(*) ELECTIVA u (**) OPTATIVA,0,–
759,Seminario de Integración y Aplicación,0,754-755-756-757-758
